title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
JAVA DEVELOPER (Software Developer),Software/Web Development,"Tara Aung Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-05-26,https://www.jobnet.com.mm/job/java-developer-tara-aung-co-ltd/114482,jobnetmm
Full - Stack Developer (Innovation Lab) (Software Developer),Software/Web Development,AYA Bank,Yangon,MM,,Negotiable,,,,,,2025-05-26,https://www.jobnet.com.mm/job/full-stack-developer-innovation-lab-aya-bank/110598,jobnetmm
Devops Engineer (Innovation Lab) (DevOps Engineer),Cloud & Devops,AYA Bank,Yangon,MM,,Negotiable,,,,,,2025-05-26,https://www.jobnet.com.mm/job/devops-engineer-innovation-lab-aya-bank/110595,jobnetmm
Technical Support (Database Administrator ),Infra & System,"Myanmar CP Livestock Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-05-26,https://www.jobnet.com.mm/job/technical-support-myanmar-cp-livestock-co-ltd/111998,jobnetmm
Application Support (IT Support),Infra & System,"Myanmar CP Livestock Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-05-26,https://www.jobnet.com.mm/job/application-support-myanmar-cp-livestock-co-ltd/111999,jobnetmm
Net Developer (Software Developer),Software/Web Development,"Myanmar CP Livestock Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-05-26,https://www.jobnet.com.mm/job/net-developer-myanmar-cp-livestock-co-ltd/112000,jobnetmm
Technical Support (IT Support),Infra & System,Myanmar Citizens Bank (MCB),Yangon,MM,,Negotiable,,,,,,2025-05-26,https://www.jobnet.com.mm/job/technical-support-myanmar-citizens-bank-mcb/114760,jobnetmm
IT Technician (Quantum Leap Company) (Network Engineer ),Network,"Myanmar Distribution Group Co., Ltd. (MDG)",Yangon,MM,,Negotiable,,,,,,2025-05-24,https://www.jobnet.com.mm/job/it-technician-quantum-leap-company-myanmar-distribution-group-co-ltd-mdg/114717,jobnetmm
ELV Engineer (IT Support),Infra & System,"Myanmar Golden Rock International Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-05-24,https://www.jobnet.com.mm/job/elv-engineer-myanmar-golden-rock-international-co-ltd/114710,jobnetmm
IT Business Analyst (Business Analyst),Data & Analytics,JobNet Corporate (Sales),Yangon,MM,,Negotiable,,,,,,2025-05-23,https://www.jobnet.com.mm/job/it-business-analyst-jobnet-corporate-sales/114695,jobnetmm
Senior Technical Project Manager (IT Project Manager),Project & Product Management,Myanmar Citizens Bank (MCB),Yangon,MM,,Negotiable,,,,,Senior,2025-05-23,https://www.jobnet.com.mm/job/senior-technical-project-manager-myanmar-citizens-bank-mcb/114657,jobnetmm
Infrastructure Support Engineer (IT Support),Infra & System,"Myanmar CP Livestock Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-05-22,https://www.jobnet.com.mm/job/infrastructure-support-engineer-myanmar-cp-livestock-co-ltd/113334,jobnetmm
Senior Software Engineer ( Functional Support) (IT Support),Software/Web Development,"Ace Data Systems Co.,Ltd",Yangon,MM,,Negotiable,,,,,Senior,2025-05-22,https://www.jobnet.com.mm/job/senior-software-engineer-functional-support-ace-data-systems-co-ltd/112348,jobnetmm
Odoo Developer (Senior/Mid Level) (Software Developer),Software/Web Development,Innovix Solutions,Yangon,MM,,Negotiable,,,,,Senior,2025-05-22,https://www.jobnet.com.mm/job/odoo-developer-senior-mid-level-innovix-solutions/113302,jobnetmm
Core Banking System & Database Administrator (Database Administrator ),Infra & System,SATHAPANA Limited Myanmar,Yangon,MM,,Negotiable,,,,,,2025-05-22,https://www.jobnet.com.mm/job/core-banking-system-and-database-administrator-sathapana-limited-myanmar/114617,jobnetmm
In-House Software &Report Development Unit Officer (Data Analyst),Data & Analytics,SATHAPANA Limited Myanmar,Yangon,MM,,Negotiable,,,,,,2025-05-21,https://www.jobnet.com.mm/job/in-house-software-andreport-development-unit-officer-sathapana-limited-myanmar/114597,jobnetmm
Trainee Engineer (IT Support),Infra & System,,Yangon,MM,,Negotiable,,,,,,2025-05-21,https://www.jobnet.com.mm/job/trainee-engineer-leading-company/114576,jobnetmm
System Engineer (Database Administrator ),Infra & System,"Nice Myanmar Travels & Tours Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-05-21,https://www.jobnet.com.mm/job/system-engineer-nice-myanmar-travels-and-tours-co-ltd/114574,jobnetmm
Senior Java Developer,Software/Web Development,Wave Money,Yangon,MM,,Negotiable,,,,,Senior,2025-05-21,https://www.jobnet.com.mm/job/senior-java-developer-wave-money/106259,jobnetmm
Mid-Level Software Engineer (AI Video Generation) (Network Engineer ),Network,X inc,International,MM,,2500000,2500000,Ks,,,,2025-05-21,https://www.jobnet.com.mm/job/mid-level-software-engineer-ai-video-generation-x-inc/114542,jobnetmm
Assistant Supervisor (System Engineer) (System Analyst),Infra & System,CHID Bank,Yangon,MM,,Negotiable,,,,,,2025-05-20,https://www.jobnet.com.mm/job/assistant-supervisor-system-engineer-chid-bank/114540,jobnetmm
Senior Information Security Manager,Cybersecurity,Wave Money,Yangon,MM,,Negotiable,,,,,Senior,2025-05-20,https://www.jobnet.com.mm/job/senior-information-security-manager-wave-money/112294,jobnetmm
Senior IT Technician (IT Support),Infra & System,"WOW SPORTS & CULTURAL DEVELOPMENT CO.,LTD",Yangon,MM,,800000,800000,Ks,,,Senior,2025-05-20,https://www.jobnet.com.mm/job/senior-it-technician-wow-sports-and-cultural-development-co-ltd/114504,jobnetmm
Associate Security Engineer (IT Security Manager),Cybersecurity,CB Bank,Yangon,MM,,Negotiable,,,,,Manager,2025-05-20,https://www.jobnet.com.mm/job/associate-security-engineer-cb-bank/111506,jobnetmm
"Senior Analyst, Infrastructure & EUS",Data & Analytics,AIA Myanmar,Yangon,MM,,Negotiable,,,,,Senior,2025-05-20,https://www.jobnet.com.mm/job/senior-analyst-infrastructure-and-eus-aia-myanmar/111341,jobnetmm
"Sr. Manager, New Stream & Advance Analytics",Data & Analytics,ATOM,Yangon,MM,,Negotiable,,,,,Manager,2025-05-20,https://www.jobnet.com.mm/job/sr-manager-new-stream-and-advance-analytics-atom/114488,jobnetmm
