title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
IT Network and Systems Engineer (DSC/CY/I2),Infra & System,ST Engineering,Jurong East,SG,2400,6000,4200,SGD,,,,2025-05-28,https://www.foundit.sg/job/it-network-and-systems-engineer-dsc-cy-i2-st-engineering-jurong-east-34964145,founditsg
Project Engineer (Network Infrastructure),Infra & System,ST Engineering,Singapore,SG,2880,4320,3600,SGD,,,,2025-05-28,https://www.foundit.sg/job/project-engineer-network-infrastructure-st-engineering-singapore-34965064,founditsg
"Senior / Engineer, Network (GC/SW)",Network,ST Engineering,Singapore,SG,2160,3600,2880,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-engineer-network-gc-sw-st-engineering-singapore-34964399,founditsg
"Server Sales Manager(Johor, Malaysia、Jakarta, Indonesia)",Other,Kaytus Systems Pte. Ltd,Singapore,SG,36000,108000,72000,USD,,,,2025-05-28,https://www.foundit.sg/job/server-sales-manager-johor-malaysiajakarta-indonesia-kaytus-systems-pte-ltd-singapore-34963510,founditsg
Devops Automation,Cloud & Devops,Tek Infotree Sdn Bhd,Singapore,SG,72000,78000,75000,USD,,,,2025-05-28,https://www.foundit.sg/job/devops-automation-tek-infotree-sdn-bhd-singapore-34965894,founditsg
Senior FrontEnd Developer (Vue / React),Software/Web development,Deepsky Tech Pte. Ltd,Singapore,SG,60000,108000,84000,SGD,,,,2025-05-27,https://www.foundit.sg/job/senior-frontend-developer-vue-react-deepsky-tech-pte-ltd-singapore-33717528,founditsg
Application Support Engineer,Technical Support,Linktrix Consultants Pte Ltd,High Street,SG,36000,54000,45000,SGD,,,,2025-05-27,https://www.foundit.sg/job/application-support-engineer-linktrix-consultants-pte-ltd-high-street-33627103,founditsg
AS400 Developer,Software/Web development,Thakral One Solutions Private Limited,Singapore,SG,24000,48000,36000,SGD,,,,2025-05-27,https://www.foundit.sg/job/as400-developer-thakral-one-solutions-private-limited-singapore-33811154,founditsg
Software Lead,Software/Web development,Linktrix Consultants Pte Ltd,High Street,SG,84000,120000,102000,SGD,,,,2025-05-27,https://www.foundit.sg/job/software-lead-linktrix-consultants-pte-ltd-high-street-33627101,founditsg
Software Engineer,Software/Web development,Linktrix Consultants Pte Ltd,High Street,SG,60000,84000,72000,SGD,,,,2025-05-27,https://www.foundit.sg/job/software-engineer-linktrix-consultants-pte-ltd-high-street-33627099,founditsg
