title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source,avg_salary,min_salary,max_salary,currency,cleaned_title,level,category
Firmware Engineer,JAC Recruitment,Chon Buri,"฿70,000 – ฿80,000 per month",Full time,On-site,2025-04-28,https://th.jobsdb.com/job/83862309,TH,jobsdbth,75000,70000,80000,THB,firmware engineer,,Other
Data Governance Manager,JAC Recruitment,Bangkok,"฿80,000 – ฿100,000 per month",Full time,On-site,2025-04-29,https://th.jobsdb.com/job/83891369,TH,jobsdbth,90000,80000,100000,THB,data governance manager,Manager,Data & Analytics
SAP Specialist (FI/CO),PTG Energy,"Huai Khwang, Bangkok",,Full time,Hybrid,2025-04-28,https://th.jobsdb.com/job/83851376,TH,jobsdbth,,,,,sap specialist fi/co,,SAP / ERP
Open for Fresh grade - IT Engineer (Japanese Speaking) - (ID: 674863),Persolkelly,Bangkok,,Full time,On-site,2025-05-15,https://th.jobsdb.com/job/84234998,TH,jobsdbth,,,,,open fresh grade - it engineer - id 674863,,Other
Solution Architect,Morgan McKinley,"Thai Mueang, Phang Nga",,Full time,On-site,2025-05-02,https://th.jobsdb.com/job/83956830,TH,jobsdbth,,,,,solution architect,,Infra & System
Senior Product Manager (Japan),Agoda,Bangkok,,Full time,Hybrid,2024-08-09,https://th.jobsdb.com/job/77998472,TH,jobsdbth,,,,,senior product manager japan,Senior,Project & Product Management
Senior DevOps,IBM Digital Talent for Business,Bangkok,,Full time,Hybrid,2025-04-29,https://th.jobsdb.com/job/83890608,TH,jobsdbth,,,,,senior devops,Senior,Cloud & Devops
Senior Developer (Java/Kotlin/Golang),PRTR Recruitment,Bangkok,,Full time,Hybrid,2025-04-29,https://th.jobsdb.com/job/83888166,TH,jobsdbth,,,,,senior developer java/kotlin/golang,Senior,Software/Web Development
Oracle Cloud Technology Sales Manager,Oracle,Bangkok,,Full time,Hybrid,2025-05-06,https://th.jobsdb.com/job/84031966,TH,jobsdbth,,,,,oracle cloud technology sales manager,Manager,Cloud & Devops
System Analyst (Good Eng) - Banking (Max 120K),Persolkelly,Bangkok,,Contract/Temp,On-site,2025-05-08,https://th.jobsdb.com/job/84089718,TH,jobsdbth,,,,,system analyst good eng - banking max 120k,,Infra & System
Program Specialist Contract 6 months,Skillpower,Rayong,"฿35,000 – ฿40,000 per month",Contract/Temp,On-site,2025-05-15,https://th.jobsdb.com/job/84247156,TH,jobsdbth,37500,35000,40000,THB,program specialist 6,,Other
SAP FI/MM/PP (Contract Renewal),Hitachi Digital Services,Bangkok,,Contract/Temp,Hybrid,2025-04-29,https://th.jobsdb.com/job/83881890,TH,jobsdbth,,,,,sap fi/mm/pp,,SAP / ERP
Senior Embedded Software Engineer,Zensorium,"Khlong Toei, Bangkok",,Full time,Hybrid,2025-05-09,https://th.jobsdb.com/job/84121246,TH,jobsdbth,,,,,senior embedded software engineer,Senior,Software/Web Development
"DevSecOps Engineer (Bangkok based, relocation provided)",Agoda,Bangkok,,Full time,Hybrid,2024-10-01,https://th.jobsdb.com/job/79215860,TH,jobsdbth,,,,,devsecops engineer,,Cloud & Devops
