title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Cybersecurity Analyst,,Capital Diamond Star Group (CDSG),Yangon,MM,,,,,,,,2025-04-29,https://www.jobnet.com.mm/job/cybersecurity-analyst-capital-diamond-star-group-cdsg/110974,jobnetmm
Assistant Digital Product Manager,,KBZ Bank,Yangon,MM,,,,,,,,2025-04-29,https://www.jobnet.com.mm/job/assistant-digital-product-manager-kbz-bank/113590,jobnetmm
IT Executive,,Wilmar Myanmar Limited,Yangon,MM,,,,,,,,2025-04-29,https://www.jobnet.com.mm/job/it-executive-wilmar-myanmar-limited/113567,jobnetmm
Senior Application Security Engineer,,Yoma Bank,Yangon,MM,,,,,,,,2025-04-29,https://www.jobnet.com.mm/job/senior-application-security-engineer-yoma-bank/112851,jobnetmm
Data Manager,,Proximity Finance,Yangon,MM,,,,,,,,2025-04-28,https://www.jobnet.com.mm/job/data-manager-proximity-finance/113517,jobnetmm
Team Leader (Project Leader),,"Myanmar DCR Co.,Ltd",Yangon,MM,,,,,,,,2025-04-28,https://www.jobnet.com.mm/job/team-leader-project-leader-myanmar-dcr-co-ltd/111198,jobnetmm
Head Of Digital Transformation,,Myanmar Citizens Bank (MCB),Yangon,MM,,,,,,,,2025-04-26,https://www.jobnet.com.mm/job/head-of-digital-transformation-myanmar-citizens-bank-mcb/113480,jobnetmm
Data Entry Manager,,Rixs Group Company Limited,Yangon,MM,,,,,,,,2025-04-26,https://www.jobnet.com.mm/job/data-entry-manager-rixs-group-company-limited/113471,jobnetmm
Software Support & Trainer,,KINGS International School,Yangon,MM,,,,,,,,2025-04-26,https://www.jobnet.com.mm/job/software-support-and-trainer-kings-international-school/113455,jobnetmm
Business Analyst,,"Zettatech Co., Ltd.",Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/business-analyst-zettatech-co-ltd/113052,jobnetmm
Assistant IT Manager,,"Focus Star Co.,Ltd",Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/assistant-it-manager-focus-star-co-ltd/113446,jobnetmm
Senior Web Developer ( Java ),,Capital Taiyo Life Insurance,Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/senior-web-developer-java-capital-taiyo-life-insurance/113040,jobnetmm
Cyber Security Senior Manager,,Myanmar Citizens Bank (MCB),Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/cyber-security-senior-manager-myanmar-citizens-bank-mcb/113441,jobnetmm
Junior EUS Engineer,,Myanmar Citizens Bank (MCB),Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/junior-eus-engineer-myanmar-citizens-bank-mcb/113438,jobnetmm
ATM Support Engineer,,Myanmar Citizens Bank (MCB),Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/atm-support-engineer-myanmar-citizens-bank-mcb/113437,jobnetmm
NOC Manager,,Myanmar Citizens Bank (MCB),Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/noc-manager-myanmar-citizens-bank-mcb/113433,jobnetmm
Senior Network Engineer,,Myanmar Citizens Bank (MCB),Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/senior-network-engineer-myanmar-citizens-bank-mcb/113431,jobnetmm
Senior System Engineer,,Myanmar Citizens Bank (MCB),Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/senior-system-engineer-myanmar-citizens-bank-mcb/113428,jobnetmm
Network & System Engineer,,Myanmar Metro Bank,Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/network-and-system-engineer-myanmar-metro-bank/113425,jobnetmm
Solution Architect,,Talent Experts,Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/solution-architect-talent-experts/112960,jobnetmm
Network Administrator,,CoreBridge Company Limited,Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/network-administrator-corebridge-company-limited/113421,jobnetmm
"Sr. Mgr/Manager, Business Solutions & Partnership",,ATOM,Yangon,MM,,,,,,,,2025-04-25,https://www.jobnet.com.mm/job/sr-mgr-manager-business-solutions-and-partnership-atom/113416,jobnetmm
Application Consultant,,Myanmar Information Technology Pte. Ltd. (MIT),Yangon,MM,,,,,,,,2025-04-24,https://www.jobnet.com.mm/job/application-consultant-myanmar-information-technology-pte-ltd-mit/113390,jobnetmm
Junior Testing Engineer,,Myanmar Information Technology Pte. Ltd. (MIT),Yangon,MM,,,,,,,,2025-04-24,https://www.jobnet.com.mm/job/junior-testing-engineer-myanmar-information-technology-pte-ltd-mit/113389,jobnetmm
Vmware System Administrator,,CoreBridge Company Limited,Yangon,MM,,,,,,,,2025-04-24,https://www.jobnet.com.mm/job/vmware-system-administrator-corebridge-company-limited/113385,jobnetmm
Head Of Digital Banking Management & AI Solutions,,CB Bank,Yangon,MM,,,,,,,,2025-04-24,https://www.jobnet.com.mm/job/head-of-digital-banking-management-and-ai-solutions-cb-bank/113362,jobnetmm
