title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source
IT Technical Support Engineer (IT Support),"Myanmar Golden Rock International Co.,Ltd",Yangon,Negotiable,,,05 May 2025,https://www.jobnet.com.mm/job/it-technical-support-engineer-myanmar-golden-rock-international-co-ltd/111550,MM,jobnetmm
"Assistant Manager, Information System (IT Project Manager)",Carlsberg Myanmar,Yangon,Negotiable,,,05 May 2025,https://www.jobnet.com.mm/job/assistant-manager-information-system-carlsberg-myanmar/113838,MM,jobnetmm
Senior IT Associate (CRM) (Software Developer),Sea Lion CLL Holdings,Yangon,Negotiable,,,05 May 2025,https://www.jobnet.com.mm/job/senior-it-associate-crm-sea-lion-cll-holdings/113150,MM,jobnetmm
System Engineer (IT Technician),Capital Diamond Star Group (CDSG),Yangon,Negotiable,,,05 May 2025,https://www.jobnet.com.mm/job/system-engineer-it-technician-capital-diamond-star-group-cdsg/104419,MM,jobnetmm
Power Platform Developer,Dai-ichi Life Insurance Myanmar Ltd.,Yangon,Negotiable,,,05 May 2025,https://www.jobnet.com.mm/job/power-platform-developer-dai-ichi-life-insurance-myanmar-ltd/113300,MM,jobnetmm
"Manager/Sr.Manager, Revenue Intelligence (RAFM IT)",ATOM,Yangon,Negotiable,,,03 May 2025,https://www.jobnet.com.mm/job/manager-srmanager-revenue-intelligence-rafm-it-atom/113824,MM,jobnetmm
Software Developer,"Myanmar Fiber Optic Communication Network Co.,Ltd",Yangon,Negotiable,,,03 May 2025,https://www.jobnet.com.mm/job/software-developer-myanmar-fiber-optic-communication-network-co-ltd/113823,MM,jobnetmm
System Architect & Devops Engineer (DevOps Engineer),Mahar Bawga Group of Companies,Yangon,Negotiable,,,03 May 2025,https://www.jobnet.com.mm/job/system-architect-and-devops-engineer-mahar-bawga-group-of-companies/113812,MM,jobnetmm
Senior Payment Support Technician (System Analyst),KBZ Bank,Yangon,Negotiable,,,02 May 2025,https://www.jobnet.com.mm/job/senior-payment-support-technician-kbz-bank/113782,MM,jobnetmm
Senior System Engineer (DevOps Engineer),KBZ Bank,Yangon,Negotiable,,,02 May 2025,https://www.jobnet.com.mm/job/senior-system-engineer-kbz-bank/113781,MM,jobnetmm
Senior Software Developer/Core Banking Specialist,Myanmar Metro Bank,Yangon,Negotiable,,,01 May 2025,https://www.jobnet.com.mm/job/senior-software-developer-core-banking-specialist-myanmar-metro-bank/101903,MM,jobnetmm
Senior Odoo Developer (Software Developer),"R&P International Co.,Ltd",Yangon,Negotiable,,,30 Apr 2025,https://www.jobnet.com.mm/job/senior-odoo-developer-randp-international-co-ltd/111828,MM,jobnetmm
Python Developer (Software Developer),,Yangon,Negotiable,,,30 Apr 2025,https://www.jobnet.com.mm/job/python-developer/113687,MM,jobnetmm
Junior IT Officer (IT Support),Gandamar Shwe Pyi,Yangon,Negotiable,,,30 Apr 2025,https://www.jobnet.com.mm/job/junior-it-officer-gandamar-shwe-pyi/113656,MM,jobnetmm
Cybersecurity Analyst (IT Security Manager),Capital Diamond Star Group (CDSG),Yangon,Negotiable,,,29 Apr 2025,https://www.jobnet.com.mm/job/cybersecurity-analyst-capital-diamond-star-group-cdsg/110974,MM,jobnetmm
Assistant Digital Product Manager (IT Project Manager),KBZ Bank,Yangon,Negotiable,,,29 Apr 2025,https://www.jobnet.com.mm/job/assistant-digital-product-manager-kbz-bank/113590,MM,jobnetmm
IT Executive (Network Engineer ),Wilmar Myanmar Limited,Yangon,"Up to 1,000,000 Ks",,,29 Apr 2025,https://www.jobnet.com.mm/job/it-executive-wilmar-myanmar-limited/113567,MM,jobnetmm
Senior Application Security Engineer (IT Security Manager),Yoma Bank,Yangon,Negotiable,,,29 Apr 2025,https://www.jobnet.com.mm/job/senior-application-security-engineer-yoma-bank/112851,MM,jobnetmm
Data Manager (Data Analyst),Proximity Finance,Yangon,Negotiable,,,28 Apr 2025,https://www.jobnet.com.mm/job/data-manager-proximity-finance/113517,MM,jobnetmm
Team Leader (Project Leader) (Software Developer),"Myanmar DCR Co.,Ltd",Yangon,Negotiable,,,28 Apr 2025,https://www.jobnet.com.mm/job/team-leader-project-leader-myanmar-dcr-co-ltd/111198,MM,jobnetmm
Head Of Digital Transformation (IT Director ),Myanmar Citizens Bank (MCB),Yangon,Negotiable,,,26 Apr 2025,https://www.jobnet.com.mm/job/head-of-digital-transformation-myanmar-citizens-bank-mcb/113480,MM,jobnetmm
Data Entry Manager (Data Analyst),Rixs Group Company Limited,Yangon,Negotiable,,,26 Apr 2025,https://www.jobnet.com.mm/job/data-entry-manager-rixs-group-company-limited/113471,MM,jobnetmm
Software Support & Trainer (System Analyst),KINGS International School,Yangon,Negotiable,,,26 Apr 2025,https://www.jobnet.com.mm/job/software-support-and-trainer-kings-international-school/113455,MM,jobnetmm
Business Analyst,"Zettatech Co., Ltd.",Yangon,Negotiable,,,25 Apr 2025,https://www.jobnet.com.mm/job/business-analyst-zettatech-co-ltd/113052,MM,jobnetmm
Assistant IT Manager (IT Support),"Focus Star Co.,Ltd",Yangon,Negotiable,,,25 Apr 2025,https://www.jobnet.com.mm/job/assistant-it-manager-focus-star-co-ltd/113446,MM,jobnetmm
