title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
System Administrator [Senior],Infra & System,Triple T Broadband,Nonthaburi,TH,,,,,Full time,On-site,Senior,2025-05-27,https://th.jobsdb.com/job/84500066,jobsdbth
BI & IT Director,Data & Analytics,Srichand United Dispensary,"Suan Luang, Bangkok",TH,,,,,Full time,On-site,,2025-05-26,https://th.jobsdb.com/job/84474377,jobsdbth
Project Manager (IT Solution),Project & Product Management,World Information Technology,"Bang Rak, Bangkok",TH,,,,,Full time,Hybrid,Manager,2025-05-12,https://th.jobsdb.com/job/84161332,jobsdbth
System Analyst,Infra & System,"SCB Tech X Co., Ltd.",Bangkok,TH,,,,,Full time,Hybrid,,2025-05-20,https://th.jobsdb.com/job/83093671,jobsdbth
Project Manager (IT),Project & Product Management,Gosoft,"Pak Kret, Nonthaburi",TH,,,,,Full time,Hybrid,Manager,2025-04-28,https://th.jobsdb.com/job/83860533,jobsdbth
Business Analyst,Data & Analytics,The Gang Technology,Bangkok,TH,,,,,Full time,Hybrid,,2025-05-20,https://th.jobsdb.com/job/84341741,jobsdbth
Software Engineer (New Graduation 2025),Software/Web Development,Toyota Tsusho Nexty Electronics,"Pathum Wan, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-26,https://th.jobsdb.com/job/84469364,jobsdbth
Programmer [Junior : Software Development],Software/Web Development,Triple T Broadband,Nonthaburi,TH,,,,,Full time,On-site,Junior,2025-05-22,https://th.jobsdb.com/job/84410691,jobsdbth
Business Analyst Manager (Corporate Strategy),Data & Analytics,MR.DIY,Bangkok,TH,,,,,Full time,On-site,Manager,2025-05-20,https://th.jobsdb.com/job/84347193,jobsdbth
Product Owner (Application Experience ),Project & Product Management,Advanced Info Service,"Phaya Thai, Bangkok",TH,,,,,Full time,On-site,,2025-05-18,https://th.jobsdb.com/job/84298492,jobsdbth
Tech Lead (O2O – Technology),Other,Lotus's,"Bueng Kum, Bangkok",TH,,,,,Full time,On-site,Manager,2025-05-27,https://th.jobsdb.com/job/83298755,jobsdbth
Vice President of Digital and Technology,Other,Ubon Bio Ethanol,Bangkok,TH,,,,,Full time,On-site,,2025-05-15,https://th.jobsdb.com/job/84236872,jobsdbth
"System Analyst ((Application Support - POS, Inventory, CRM, ERP )",Infra & System,Bangchak,"Phra Khanong, Bangkok",TH,,,,,Full time,On-site,,2025-05-23,https://th.jobsdb.com/job/84438271,jobsdbth
Assistant IT Manager / IT Manager,Other,Isuzu Motors (Thailand),"Mueang Chonburi, Chon Buri",TH,,,,,Full time,On-site,Manager,2025-05-21,https://th.jobsdb.com/job/84363696,jobsdbth
Full stack developer (Senior/Junior),Software/Web Development,Tipping Point Solution,"Huai Khwang, Bangkok",TH,27000,40000,33500,THB,Full time,Hybrid,Junior,2025-05-16,https://th.jobsdb.com/job/84280020,jobsdbth
Project Coordinator (XR & Game),Project & Product Management,,"Huai Khwang, Bangkok",TH,40000,60000,50000,THB,Full time,On-site,,2025-05-01,https://th.jobsdb.com/job/83942972,jobsdbth
Data Analyst (m/f/x),Data & Analytics,Lorenz & Partners,Bangkok,TH,,,,,Full time,On-site,,2025-05-14,https://th.jobsdb.com/job/84222231,jobsdbth
"Executive, Project Coordinator",Project & Product Management,Frasers Property,"Pathum Wan, Bangkok",TH,,,,,Full time,On-site,,2025-05-02,https://th.jobsdb.com/job/83966452,jobsdbth
IT Project Coordinator,Project & Product Management,Integro Technologies,Bangkok,TH,,,,,Full time,On-site,,2025-05-23,https://th.jobsdb.com/job/84442940,jobsdbth
"Specialist, Device Strategic Improvement (BI-Data Analyst)",Data & Analytics,True Corporation,"Huai Khwang, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-27,https://th.jobsdb.com/job/84508470,jobsdbth
Programmer / Software Engineer / System Analyst,Software/Web Development,Gosoft,"Pak Kret, Nonthaburi",TH,,,,,Full time,Hybrid,,2025-05-16,https://th.jobsdb.com/job/84271267,jobsdbth
Internship/นักศึกษาฝึกงาน (Apply with a specified internship period),Other,Bangkok Payment Solutions Company Limited,"Chatuchak, Bangkok",TH,,,,,Part time,On-site,Intern,2025-05-06,https://th.jobsdb.com/job/84027596,jobsdbth
Data Engineer + Data Analyst,Data & Analytics,"Arise By Infinitas Co., Ltd.","Khlong Toei, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-02,https://th.jobsdb.com/job/83285906,jobsdbth
Computer Operation Officer,Other,"Krungthai Computer Services Co., Ltd.","Bang Sue, Bangkok",TH,,,,,Full time,On-site,,2025-05-26,https://th.jobsdb.com/job/84478678,jobsdbth
